,store_code,ItemID,address,local,category
0,STORE_JRO00001,광고살롱순라,서울 종로구 율곡로10길 75,(지번) 권농동 187-7,이탈리안
1,STORE_JRO00002,광고오라이등심,서울 종로구 종로32길 23-5,(지번) 종로5가 395-10,갈비
2,STORE_JRO00003,광고종로고기집 종로본점,서울 종로구 삼일대로19길 19,(지번) 관철동 13-10,"육류,고기"
3,STORE_JRO00004,카페노티드 안국,서울 종로구 북촌로 6-3 1층,(지번) 재동 86,카페
4,STORE_JRO00005,블루보틀 삼청한옥,서울 종로구 북촌로5길 76,(지번) 소격동 86,카페
5,STORE_JRO00006,스태픽스,서울 종로구 사직로9길 22 102호,(지번) 필운동 32-1,카페
6,STORE_JRO00007,소금집델리 안국,서울 종로구 북촌로4길 19 1층,(지번) 계동 101-12,양식
7,STORE_JRO00008,다운타우너 안국,서울 종로구 북촌로 6-4 1층,(지번) 재동 85-3,햄버거
8,STORE_JRO00009,온천집 익선,서울 종로구 돈화문로11나길 31-8 1층,(지번) 익선동 128-3,샤브샤브
9,STORE_JRO00010,청진옥 본점,서울 종로구 종로3길 32,(지번) 청진동 183-1,해장국
10,STORE_JRO00011,광화문미진 본점,서울 종로구 종로 19 르메이에르 종로타운 1층,(지번) 청진동 146,국수
11,STORE_JRO00012,산모퉁이,서울 종로구 백석동길 153,(지번) 부암동 97-5,카페
12,STORE_JRO00013,삼청동수제비,서울 종로구 삼청로 101-1,(지번) 삼청동 102-2,수제비
13,STORE_JRO00014,진옥화 할매원조닭한마리 본점,서울 종로구 종로40가길 18,(지번) 종로5가 265-22,닭요리
14,STORE_JRO00015,이문설농탕,서울 종로구 우정국로 38-13,(지번) 견지동 88,설렁탕
15,STORE_JRO00016,토속촌삼계탕,서울 종로구 자하문로5길 5,(지번) 체부동 85-1,삼계탕
16,STORE_JRO00017,잘빠진메밀 서촌점,서울 종로구 자하문로11길 4,(지번) 통인동 120,국수
17,STORE_JRO00018,깡통만두,서울 종로구 북촌로2길 5-6,(지번) 재동 84-22,분식
18,STORE_JRO00019,어니언 안국점,서울 종로구 계동길 5,(지번) 계동 146-1,카페
19,STORE_JRO00020,황생가칼국수,서울 종로구 북촌로5길 78,(지번) 소격동 84,국수
20,STORE_JRO00021,경양카츠,서울 종로구 수표로28길 15,(지번) 익선동 166-60,"돈까스,우동"
21,STORE_JRO00022,유진식당,서울 종로구 종로17길 40,(지번) 낙원동 221,한식
22,STORE_JRO00023,부촌육회,서울 종로구 종로 200-12,(지번) 종로4가 165-11,"육류,고기"
23,STORE_JRO00024,계림 종로본점,서울 종로구 돈화문로4길 39,(지번) 종로3가 167,닭요리
24,STORE_JRO00025,원조순희네육회빈대떡,서울 종로구 종로32길 5,(지번) 종로5가 138-9,한식
25,STORE_JRO00026,더피아노,서울 종로구 평창6길 71,(지번) 평창동 444-1,커피전문점
26,STORE_JRO00027,자하손만두,서울 종로구 백석동길 12,(지번) 부암동 245-2,한식
27,STORE_JRO00028,서촌계단집,서울 종로구 자하문로1길 15 1층,(지번) 내자동 11-1,"해물,생선"
28,STORE_JRO00029,오죽이네,서울 종로구 돈화문로11가길 25,(지번) 익선동 156,닭요리
29,STORE_JRO00030,스코프 서촌점,서울 종로구 필운대로5가길 31,(지번) 누하동 90-2,"제과,베이커리"
30,STORE_JRO00031,핏제리아오,서울 종로구 동숭길 48,(지번) 동숭동 31-19,피자
31,STORE_JRO00032,정돈,서울 종로구 대학로9길 12 지하1층,(지번) 명륜4가 107,"돈까스,우동"
32,STORE_JRO00033,계열사,서울 종로구 백석동길 7,(지번) 부암동 258-3,치킨
33,STORE_JRO00034,호호식당 대학로점,서울 종로구 대학로9길 35 1층,(지번) 명륜4가 143,일식
34,STORE_JRO00035,프릳츠 원서점,서울 종로구 율곡로 83,(지번) 원서동 221-1,카페
35,STORE_JRO00036,아델라베일리,서울 종로구 북악산로 48,(지번) 부암동 23-3,이탈리안
36,STORE_JRO00037,찬양집,서울 종로구 돈화문로11다길 5,(지번) 돈의동 27,국수
37,STORE_JRO00038,백제정육점,서울 종로구 종로35길 34,(지번) 효제동 155,"육류,고기"
38,STORE_JRO00039,테라로사 광화문점,서울 종로구 종로1길 50,(지번) 중학동 19,커피전문점
39,STORE_JRO00040,스미스가좋아하는한옥,서울 종로구 삼청로 22-7,(지번) 사간동 62-1,이탈리안
40,STORE_JRO00041,대성집,서울 종로구 사직로 5,(지번) 행촌동 209-35,해장국
41,STORE_JRO00042,아키비스트,서울 종로구 효자로13길 52,(지번) 효자동 164-7,카페
42,STORE_JRO00043,진진수라 광화문점,서울 종로구 종로5길 7 타워8빌딩 지하 2층 201-206호,(지번) 청진동 128,한정식
43,STORE_JRO00044,포비 광화문점,서울 종로구 종로3길 17 광화문D타워 1층 21호,(지번) 청진동 246,카페
44,STORE_JRO00045,라그릴리아 광화문점,서울 종로구 청계천로 11 청계한국빌딩 2층,(지번) 서린동 149,이탈리안
45,STORE_JRO00046,육회자매집 본점1호점,서울 종로구 종로 200-4 지상1층,(지번) 종로4가 177,"육류,고기"
46,STORE_JRO00047,엄용백돼지국밥 종각점,서울 종로구 인사동3길 20,(지번) 인사동 194-28,국밥
47,STORE_JRO00048,에베레스트레스토랑 동대문점,서울 종로구 종로51가길 2-1 2층,(지번) 창신동 148-1,인도음식
48,STORE_JRO00049,스코프 부암점,서울 종로구 창의문로 149,(지번) 부암동 278-5,"제과,베이커리"
49,STORE_JRO00050,백부장집닭한마리 본관,서울 종로구 삼봉로 100-1,(지번) 공평동 129,닭요리
50,STORE_JRO00051,칸다소바 경복궁점,서울 종로구 자하문로7길 5 1층,(지번) 체부동 28-2,일본식라면
51,STORE_JRO00052,나누미떡볶이 성대본점,서울 종로구 성균관로 9-1,(지번) 명륜2가 225,떡볶이
